sku,sector,material,movimiento,hora_inicio,hora_fin,costo_propio,costo_overflow,sim_id
117970,HPC,117970,Salida,0.0,685.9780219780221,37326.200000000004,0,1
201138,HPC,201138,Salida,93.0,741.6153846153848,37326.200000000004,0,1
117976,HPC,117976,Salida,83.0,750.2967032967033,37326.200000000004,0,1
917200,HPC,917200,Salida,167.0,1179.571428571428,37326.200000000004,0,1
560806,HPC,560806,Salida,424.0,1237.8901098901094,37326.200000000004,0,1
203156,HPC,203156,Salida,120.0,1289.9340659340655,37326.200000000004,0,1
224668,HPC,224668,Salida,135.0,1766.2527472527468,37326.200000000004,0,1
560806,HPC,560806,Salida,741.6153846153848,1870.230769230769,37326.200000000004,0,1
560806,HPC,560806,Salida,741.6153846153848,1870.230769230769,37326.200000000004,0,1
560806,HPC,560806,Salida,741.6153846153848,2350.230769230769,37326.200000000004,0,1
958575,HPC,958575,Salida,1310.0,2457.296703296704,37326.200000000004,0,1
560806,HPC,560806,Salida,741.6153846153848,2470.2307692307695,37326.200000000004,0,1
560806,HPC,560806,Salida,741.6153846153848,2950.230769230771,37326.200000000004,0,1
560806,HPC,560806,Salida,741.6153846153848,3010.230769230771,37326.200000000004,0,1
560806,HPC,560806,Salida,741.6153846153848,3070.2307692307713,37326.200000000004,0,1
193622,HPC,193622,Salida,2457.296703296704,3544.5934065934093,37326.200000000004,0,1
193622,HPC,193622,Salida,2457.296703296704,3604.5934065934093,37326.200000000004,0,1
193622,HPC,193622,Salida,2457.296703296704,3664.5934065934093,37326.200000000004,0,1
560806,HPC,560806,Salida,1289.9340659340655,4079.868131868137,37326.200000000004,0,1
560806,HPC,560806,Salida,1289.9340659340655,4139.8681318681365,37326.200000000004,0,1
560806,HPC,560806,Salida,1289.9340659340655,4199.868131868137,37326.200000000004,0,1
193622,HPC,193622,Salida,2457.296703296704,4684.59340659341,37326.200000000004,0,1
224671,HPC,224671,Salida,2457.296703296704,4744.59340659341,37326.200000000004,0,1
224671,HPC,224671,Salida,2457.296703296704,4804.593406593409,37326.200000000004,0,1
560806,HPC,560806,Salida,1289.9340659340655,5219.868131868134,37326.200000000004,0,1
560806,HPC,560806,Salida,1289.9340659340655,5279.868131868134,37326.200000000004,0,1
560806,HPC,560806,Salida,1289.9340659340655,5339.868131868134,37326.200000000004,0,1
560806,HPC,560806,Salida,4783.0,5810.296703296702,37326.200000000004,0,1
224671,HPC,224671,Salida,2457.296703296704,5884.593406593405,37326.200000000004,0,1
224671,HPC,224671,Salida,2457.296703296704,5944.593406593405,37326.200000000004,0,1
560806,HPC,560806,Salida,741.6153846153848,6370.230769230767,37326.200000000004,0,1
224671,HPC,224671,Salida,1289.9340659340655,6419.868131868129,37326.200000000004,0,1
89688,FOODS,89688,Entrada,5277.0,6436.043956043953,37326.200000000004,0,1
560806,HPC,560806,Salida,1289.9340659340655,6479.868131868129,37326.200000000004,0,1
224668,HPC,224668,Entrada,5572.0,6493.021978021975,37326.200000000004,0,1
89688,FOODS,89688,Entrada,5333.0,6570.7252747252705,37326.200000000004,0,1
8560,FOODS,8560,Entrada,6379.0,6596.725274725275,37326.200000000004,0,1
89688,FOODS,89688,Entrada,6647.95604395604,6850.4615384615345,37326.200000000004,0,1
23935,FOODS,23935,Entrada,6659.043956043956,6880.230769230769,37326.200000000004,0,1
194465,FOODS,194465,Entrada,6721.3626373626375,6943.7032967032965,37326.200000000004,0,1
975472,FOODS,975472,Entrada,6739.0,6961.340659340659,37326.200000000004,0,1
224668,HPC,224668,Entrada,6679.978021978019,7003.307692307689,37326.200000000004,0,1
224668,HPC,224668,Entrada,6742.2967032967,7065.62637362637,37326.200000000004,0,1
23447,FOODS,23447,Entrada,6783.681318681319,7127.175824175823,37326.200000000004,0,1
160123,FOODS,160123,Entrada,6846.0,7129.494505494505,37326.200000000004,0,1
560806,HPC,560806,Salida,741.6153846153848,7150.230769230764,37326.200000000004,0,1
89688,FOODS,89688,Entrada,6700.934065934062,7203.439560439555,37326.200000000004,0,1
89688,FOODS,89688,Entrada,6882.318681318677,7219.247252747247,37326.200000000004,0,1
231684,HPC,231684,Salida,1295.0,7260.978021978017,37326.200000000004,0,1
224671,HPC,224671,Salida,2457.296703296704,7264.593406593402,37326.200000000004,0,1
235590,HPC,235590,Entrada,6962.0,7268.956043956045,37326.200000000004,0,1
89688,FOODS,89688,Entrada,6695.362637362633,7276.549450549445,37326.200000000004,0,1
224668,HPC,224668,Entrada,6493.021978021975,7294.043956043951,37326.200000000004,0,1
89688,FOODS,89688,Entrada,6806.890109890106,7311.703296703292,37326.200000000004,0,1
915597,HPC,915597,Entrada,6617.659340659337,7359.835164835159,37326.200000000004,0,1
89688,FOODS,89688,Entrada,7193.912087912084,7414.302197802193,37326.200000000004,0,1
89688,FOODS,89688,Entrada,6753.912087912084,7437.571428571421,37326.200000000004,0,1
89688,FOODS,89688,Entrada,6633.043956043952,7453.076923076916,37326.200000000004,0,1
224668,HPC,224668,Entrada,6804.615384615381,7489.098901098895,37326.200000000004,0,1
975472,FOODS,975472,Entrada,7210.615384615384,7491.005494505493,37326.200000000004,0,1
224668,HPC,224668,Entrada,5559.0,7498.868131868126,37326.200000000004,0,1
224668,HPC,224668,Entrada,6555.340659340656,7597.516483516476,37326.200000000004,0,1
975472,FOODS,975472,Entrada,7272.934065934065,7613.324175824174,37326.200000000004,0,1
975472,FOODS,975472,Entrada,7397.5714285714275,7619.115384615382,37326.200000000004,0,1
23935,FOODS,23935,Entrada,6596.725274725275,7656.758241758238,37326.200000000004,0,1
975472,FOODS,975472,Entrada,7335.252747252746,7675.642857142855,37326.200000000004,0,1
975472,FOODS,975472,Entrada,7459.890109890109,7681.434065934063,37326.200000000004,0,1
224668,HPC,224668,Entrada,7498.868131868126,7762.7472527472455,37326.200000000004,0,1
224668,HPC,224668,Entrada,7561.186813186807,7766.2197802197725,37326.200000000004,0,1
560806,HPC,560806,Salida,1289.9340659340655,7799.868131868123,37326.200000000004,0,1
235855,HPC,235855,Entrada,7623.505494505488,7829.692307692301,37326.200000000004,0,1
235590,HPC,235590,Entrada,7480.868131868132,7846.065934065934,37326.200000000004,0,1
971416,HPC,971416,Entrada,7362.0,7863.571428571427,37326.200000000004,0,1
235590,HPC,235590,Entrada,7533.846153846154,7900.197802197801,37326.200000000004,0,1
235855,HPC,235855,Entrada,6929.252747252744,7974.890109890103,37326.200000000004,0,1
224668,HPC,224668,Entrada,7810.461538461532,8014.890109890103,37326.200000000004,0,1
975472,FOODS,975472,Entrada,6961.340659340659,8019.423076923073,37326.200000000004,0,1
89688,FOODS,89688,Entrada,6819.999999999995,8063.494505494497,37326.200000000004,0,1
971416,HPC,971416,Entrada,7863.571428571427,8067.999999999998,37326.200000000004,0,1
971416,HPC,971416,Entrada,7925.890109890108,8131.472527472525,37326.200000000004,0,1
560806,HPC,560806,Salida,1237.8901098901094,8171.78021978021,37326.200000000004,0,1
975472,FOODS,975472,Entrada,7522.20879120879,8223.752747252744,37326.200000000004,0,1
948892,HPC,948892,Salida,1237.8901098901094,8231.78021978021,37326.200000000004,0,1
89688,FOODS,89688,Entrada,6757.681318681314,8300.021978021969,37326.200000000004,0,1
971416,HPC,971416,Entrada,8115.999999999999,8364.054945054944,37326.200000000004,0,1
975472,FOODS,975472,Entrada,7584.527472527471,8466.071428571424,37326.200000000004,0,1
975472,FOODS,975472,Entrada,7646.846153846152,8529.543956043952,37326.200000000004,0,1
205200,HPC,205200,Salida,1179.571428571428,8612.142857142844,37326.200000000004,0,1
971416,HPC,971416,Entrada,7988.208791208789,8613.791208791205,37326.200000000004,0,1
555674,FOODS,555674,Entrada,8409.0,8691.697802197801,37326.200000000004,0,1
971416,HPC,971416,Entrada,8575.967032967032,8759.08791208791,37326.200000000004,0,1
971416,HPC,971416,Entrada,8050.527472527471,8797.263736263732,37326.200000000004,0,1
224668,HPC,224668,Salida,685.9780219780221,8811.956043956032,37326.200000000004,0,1
958576,HPC,958576,Entrada,8628.945054945054,8812.065934065933,37326.200000000004,0,1
224668,HPC,224668,Entrada,7685.824175824169,8847.945054945045,37326.200000000004,0,1
235590,HPC,235590,Entrada,7586.824175824177,8854.329670329667,37326.200000000004,0,1
560806,HPC,560806,Salida,685.9780219780221,8871.956043956032,37326.200000000004,0,1
975472,FOODS,975472,Entrada,7085.978021978021,8925.214285714277,37326.200000000004,0,1
555674,FOODS,555674,Entrada,8691.697802197801,8974.395604395602,37326.200000000004,0,1
971416,HPC,971416,Entrada,8681.923076923076,8986.1978021978,37326.200000000004,0,1
235590,HPC,235590,Entrada,8263.0,9061.340659340656,37326.200000000004,0,1
560806,HPC,560806,Salida,1237.8901098901094,9131.780219780207,37326.200000000004,0,1
971415,HPC,971415,Entrada,8893.835164835164,9139.263736263734,37326.200000000004,0,1
555674,FOODS,555674,Entrada,8754.016483516483,9156.714285714284,37326.200000000004,0,1
235590,HPC,235590,Entrada,7268.956043956045,9190.692307692301,37326.200000000004,0,1
971416,HPC,971416,Entrada,8734.901098901097,9279.175824175822,37326.200000000004,0,1
235590,HPC,235590,Entrada,7639.802197802198,9322.087912087905,37326.200000000004,0,1
971415,HPC,971415,Entrada,8840.857142857141,9326.285714285712,37326.200000000004,0,1
235590,HPC,235590,Entrada,9185.978021978019,9390.956043956041,37326.200000000004,0,1
235590,HPC,235590,Entrada,9248.2967032967,9453.274725274721,37326.200000000004,0,1
224668,HPC,224668,Entrada,6866.934065934062,9471.417582417569,37326.200000000004,0,1
958573,HPC,958573,Salida,2428.0,9496.615384615368,37326.200000000004,0,1
926649,HPC,926649,Entrada,9303.0,9509.131868131866,37326.200000000004,0,1
89688,FOODS,89688,Entrada,7069.27472527472,9568.510989010976,37326.200000000004,0,1
926649,HPC,926649,Entrada,9355.0,9622.285714285714,37326.200000000004,0,1
235590,HPC,235590,Entrada,9435.252747252744,9637.05494505494,37326.200000000004,0,1
926649,HPC,926649,Entrada,9332.0,9659.285714285714,37326.200000000004,0,1
958576,HPC,958576,Salida,9496.615384615368,9747.868131868116,37326.200000000004,0,1
560806,HPC,560806,Salida,685.9780219780221,9771.956043956028,37326.200000000004,0,1
235590,HPC,235590,Entrada,9310.615384615381,9816.747252747247,37326.200000000004,0,1
923150,FOODS,923150,Entrada,9065.609890109889,9822.8956043956,37326.200000000004,0,1
975472,FOODS,975472,Entrada,9551.0,9830.593406593405,37326.200000000004,0,1
923150,FOODS,923150,Entrada,9439.521978021976,9839.115384615383,37326.200000000004,0,1
926649,HPC,926649,Entrada,9696.08791208791,9899.593406593403,37326.200000000004,0,1
956596,HPC,956596,Entrada,9758.406593406591,9963.065934065931,37326.200000000004,0,1
89688,FOODS,89688,Entrada,6944.637362637358,9981.565934065919,37326.200000000004,0,1
956596,HPC,956596,Entrada,9659.285714285714,9981.637362637362,37326.200000000004,0,1
956596,HPC,956596,Entrada,9684.604395604394,10006.956043956043,37326.200000000004,0,1
560806,HPC,560806,Salida,685.9780219780221,10011.956043956026,37326.200000000004,0,1
926649,HPC,926649,Entrada,9721.604395604396,10045.109890109889,37326.200000000004,0,1
956596,HPC,956596,Entrada,9783.923076923076,10045.98901098901,37326.200000000004,0,1
956596,HPC,956596,Entrada,9622.285714285714,10123.483516483513,37326.200000000004,0,1
923150,FOODS,923150,Entrada,9905.0,10125.747252747253,37326.200000000004,0,1
926649,HPC,926649,Entrada,9933.879120879119,10139.406593406591,37326.200000000004,0,1
975472,FOODS,975472,Entrada,9830.593406593405,10170.186813186812,37326.200000000004,0,1
956596,HPC,956596,Entrada,9746.923076923076,10191.582417582416,37326.200000000004,0,1
235416,HPC,235416,Salida,1289.9340659340655,10199.868131868114,37326.200000000004,0,1
926649,HPC,926649,Entrada,9820.725274725273,10263.945054945052,37326.200000000004,0,1
956596,HPC,956596,Entrada,9883.043956043954,10267.417582417578,37326.200000000004,0,1
